Country;English formal
Afghanistan;the Islamic Republic of Afghanistan
Albania;the Republic of Albania
Algeria;the People's Democratic Republic of Algeria
Andorra;the Principality of Andorra
Angola;the Republic of Angola
Antigua and Barbuda;Antigua and Barbuda
Argentina;the Argentine Republic
Armenia;the Republic of Armenia
Australia;Australia
Austria;the Republic of Austria
Azerbaijan;the Republic of Azerbaijan
The Bahamas;the Commonwealth of the Bahamas
Bahrain;the Kingdom of Bahrain
Bangladesh;the People's Republic of Bangladesh
Barbados;Barbados
Belarus;the Republic of Belarus
Belgium;the Kingdom of Belgium
Belize;Belize
Benin;the Republic of Benin
Bhutan;the Kingdom of Bhutan
Bolivia;the Plurinational State of Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Botswana;the Republic of Botswana
Brazil;the Federative Republic of Brazil
Brunei;Brunei Darussalam
Bulgaria;the Republic of Bulgaria
Burkina Faso;Burkina Faso
Burundi;the Republic of Burundi
Cape Verde;the Republic of Cabo Verde
Cambodia;the Kingdom of Cambodia
Cameroon;the Republic of Cameroon
Canada;Canada
Central African Republic;the Central African Republic
Chad;the Republic of Chad
Chile;the Republic of Chile
Mainland China;the People's Republic of China
Colombia;the Republic of Colombia
Comoros;the Union of the Comoros
Republic of the Congo;the Republic of the Congo
Costa Rica;the Republic of Costa Rica
Cote d'Ivoire;the Republic of Côte d'Ivoire
Croatia;the Republic of Croatia
Cuba;the Republic of Cuba
Cyprus;the Republic of Cyprus
Czech Republic;the Czech Republic
Democratic People's Republic of Korea (the);the Democratic People's Republic of Korea
Democratic Republic of the Congo;the Democratic Republic of the Congo
Denmark;the Kingdom of Denmark
Djibouti;the Republic of Djibouti
Dominica;the Commonwealth of Dominica
Dominican Republic;the Dominican Republic
Ecuador;the Republic of Ecuador
Egypt;the Arab Republic of Egypt
El Salvador;the Republic of El Salvador
Equatorial Guinea;the Republic of Equatorial Guinea
Eritrea;the State of Eritrea
Estonia;the Republic of Estonia
Eswatini;the Kingdom of Eswatini
Ethiopia;the Federal Democratic Republic of Ethiopia
Fiji;the Republic of Fiji
Finland;the Republic of Finland
France;the French Republic
Gabon;the Gabonese Republic
The Gambia;the Republic of the Gambia
Georgia;Georgia
Germany;the Federal Republic of Germany
Ghana;the Republic of Ghana
Greece;the Hellenic Republic
Grenada;Grenada
Guatemala;the Republic of Guatemala
Guinea;the Republic of Guinea
Guinea Bissau;the Republic of Guinea-Bissau
Guyana;the Co-operative Republic of Guyana
Haiti;the Republic of Haiti
Honduras;the Republic of Honduras
Hungary;Hungary
Iceland;the Republic of Iceland
India;the Republic of India
Indonesia;the Republic of Indonesia
Iran (Islamic Republic of);the Islamic Republic of Iran
Iraq;the Republic of Iraq
Ireland;Ireland
Israel;the State of Israel
Italy;the Republic of Italy
Jamaica;Jamaica
Japan;Japan
Jordan;the Hashemite Kingdom of Jordan
Kazakhstan;the Republic of Kazakhstan
Kenya;the Republic of Kenya
Kiribati;the Republic of Kiribati
Kuwait;the State of Kuwait
Kyrgyzstan;the Kyrgyz Republic
Lao People's Democratic Republic;the Lao People's Democratic Republic
Latvia;the Republic of Latvia
Lebanon;the Lebanese Republic
Lesotho;the Kingdom of Lesotho
Liberia;the Republic of Liberia
Libya;the State of Libya
Liechtenstein;the Principality of Liechtenstein
Lithuania;the Republic of Lithuania
Luxembourg;the Grand Duchy of Luxembourg
Madagascar;the Republic of Madagascar
Malawi;the Republic of Malawi
Malaysia;Malaysia
Maldives;the Republic of Maldives
Mali;the Republic of Mali
Malta;the Republic of Malta
Marshall Islands (the);the Republic of the Marshall Islands
Mauritania;the Islamic Republic of Mauritania
Mauritius;the Republic of Mauritius
Mexico;the United Mexican States
Micronesia (Federated States of);the Federated States of Micronesia
Monaco;the Principality of Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;the Kingdom of Morocco
Mozambique;the Republic of Mozambique
Myanmar;the Republic of the Union of Myanmar
Namibia;the Republic of Namibia
Nauru;the Republic of Nauru
Nepal;the Federal Democratic Republic of Nepal
Netherlands;the Kingdom of the Netherlands
New Zealand;New Zealand
Nicaragua;the Republic of Nicaragua
Niger;the Republic of the Niger
Nigeria;the Federal Republic of Nigeria
North Macedonia;the Republic of North Macedonia
Norway;the Kingdom of Norway
Oman;the Sultanate of Oman
Pakistan;the Islamic Republic of Pakistan
Palau;the Republic of Palau
Panama;the Republic of Panama
Papua New Guinea;the Independent State of Papua New Guinea
Paraguay;the Republic of Paraguay
Peru;the Republic of Peru
Philippines;the Republic of the Philippines
Poland;the Republic of Poland
Portugal;the Portuguese Republic
Qatar;the State of Qatar
Republic of Korea;the Republic of Korea
Republic of Moldova;the Republic of Moldova
Romania;Romania
Russia;the Russian Federation
Rwanda;the Republic of Rwanda
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Lucia;Saint Lucia
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Samoa;the Independent State of Samoa
San Marino;the Republic of San Marino
Sao Tome and Principe;the Democratic Republic of Sao Tome and Principe
Saudi Arabia;the Kingdom of Saudi Arabia
Senegal;the Republic of Senegal
Serbia;the Republic of Serbia
Seychelles;the Republic of Seychelles
Sierra Leone;the Republic of Sierra Leone
Singapore;the Republic of Singapore
Slovakia;the Slovak Republic
Slovenia;the Republic of Slovenia
Solomon Islands;Solomon Islands
Somalia;the Federal Republic of Somalia
South Africa;the Republic of South Africa
South Sudan;the Republic of South Sudan
Spain;the Kingdom of Spain
Sri Lanka;the Democratic Socialist Republic of Sri Lanka
Sudan;the Republic of the Sudan
Suriname;the Republic of Suriname
Sweden;the Kingdom of Sweden
Switzerland;the Swiss Confederation
Syrian Arab Republic;the Syrian Arab Republic
Tajikistan;the Republic of Tajikistan
Thailand;the Kingdom of Thailand
Timor-Leste;the Democratic Republic of Timor-Leste
Togo;the Togolese Republic
Tonga;the Kingdom of Tonga
Trinidad and Tobago;the Republic of Trinidad and Tobago
Tunisia;the Republic of Tunisia
Turkey;the Republic of Turkey
Turkmenistan;Turkmenistan
Tuvalu;Tuvalu
Uganda;the Republic of Uganda
Ukraine;Ukraine
United Arab Emirates;the United Arab Emirates
UK;the United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania;the United Republic of Tanzania
USA;the United States of America
Uruguay;the Eastern Republic of Uruguay
Uzbekistan;the Republic of Uzbekistan
Vanuatu;the Republic of Vanuatu
Venezuela;the Bolivarian Republic of Venezuela
Vietnam;the Socialist Republic of Viet Nam
Yemen;the Republic of Yemen
Zambia;the Republic of Zambia
Zimbabwe;the Republic of Zimbabwe
Holy See (Vatican City);the Holy See
Occupied Palestinian Territory;the State of Palestine
